0.737, 0.04, 0.009, 0.007, 0.007, 0.006, 0.01, 0.184, 
0.896, 0.003, 0.021, 0.004, 0.036, 0.01, 0.003, 0.027, 
0.848, 0.024, 0.002, 0.049, 0.012, 0.008, 0.029, 0.028, 
0.741, 0.016, 0.01, 0.007, 0.012, 0.017, 0.007, 0.19, 
0.006, 0.013, 0.161, 0.021, 0.027, 0.67, 0.007, 0.095, 
0.259, 0.032, 0.046, 0.054, 0.193, 0.033, 0.258, 0.125, 
0.027, 0.375, 0.003, 0.007, 0.297, 0.004, 0.035, 0.252, 
0.866, 0.032, 0.023, 0.026, 0.014, 0.021, 0.018, 0.0, 
0.018, 0.073, 0.208, 0.144, 0.283, 0.015, 0.021, 0.238, 
0.42, 0.072, 0.003, 0.009, 0.01, 0.014, 0.472, 0.0, 
0.679, 0.06, 0.018, 0.007, 0.049, 0.025, 0.007, 0.155, 
0.009, 0.289, 0.004, 0.076, 0.029, 0.035, 0.013, 0.545, 
0.037, 0.44, 0.122, 0.003, 0.101, 0.238, 0.038, 0.021, 
0.786, 0.023, 0.022, 0.015, 0.01, 0.037, 0.081, 0.026, 
0.807, 0.027, 0.048, 0.027, 0.011, 0.035, 0.034, 0.011, 
0.183, 0.013, 0.063, 0.018, 0.015, 0.012, 0.01, 0.686, 
0.029, 0.009, 0.034, 0.262, 0.09, 0.012, 0.452, 0.112, 
0.489, 0.24, 0.01, 0.029, 0.024, 0.208, 0.0, 0.0, 
0.582, 0.021, 0.226, 0.171, 0.0, 0.0, 0.0, 0.0, 
0.054, 0.016, 0.03, 0.121, 0.045, 0.054, 0.026, 0.654, 
0.031, 0.314, 0.023, 0.019, 0.215, 0.337, 0.048, 0.013, 
0.211, 0.1, 0.053, 0.068, 0.337, 0.027, 0.121, 0.083, 
0.296, 0.018, 0.02, 0.24, 0.003, 0.019, 0.404, 0.0, 
0.558, 0.106, 0.009, 0.042, 0.011, 0.029, 0.245, 0.0, 
0.076, 0.056, 0.022, 0.039, 0.163, 0.039, 0.037, 0.568, 
0.642, 0.021, 0.003, 0.03, 0.057, 0.07, 0.177, 0.0, 
0.107, 0.008, 0.364, 0.016, 0.083, 0.012, 0.016, 0.394, 
0.049, 0.017, 0.041, 0.372, 0.048, 0.086, 0.333, 0.054, 
0.016, 0.143, 0.012, 0.037, 0.16, 0.017, 0.603, 0.012, 
0.021, 0.15, 0.039, 0.025, 0.033, 0.078, 0.437, 0.217, 
0.154, 0.057, 0.069, 0.024, 0.147, 0.508, 0.041, 0.0, 
0.02, 0.36, 0.023, 0.012, 0.128, 0.014, 0.114, 0.329, 
0.02, 0.028, 0.347, 0.007, 0.046, 0.002, 0.55, 0.0, 
0.041, 0.027, 0.652, 0.13, 0.017, 0.026, 0.023, 0.084, 
0.237, 0.007, 0.319, 0.062, 0.067, 0.014, 0.025, 0.269, 
0.54, 0.077, 0.039, 0.151, 0.067, 0.034, 0.023, 0.069, 
0.633, 0.001, 0.023, 0.048, 0.034, 0.079, 0.045, 0.137, 
0.006, 0.381, 0.037, 0.308, 0.039, 0.008, 0.009, 0.212, 
0.621, 0.14, 0.027, 0.035, 0.023, 0.068, 0.086, 0.0, 
0.659, 0.021, 0.032, 0.108, 0.005, 0.06, 0.044, 0.071, 
0.205, 0.039, 0.027, 0.103, 0.021, 0.131, 0.474, 0.0, 
0.033, 0.016, 0.587, 0.024, 0.053, 0.024, 0.263, 0.0, 
0.15, 0.016, 0.043, 0.212, 0.039, 0.004, 0.536, 0.0, 
0.038, 0.025, 0.642, 0.08, 0.038, 0.036, 0.141, 0.0, 
0.283, 0.027, 0.27, 0.221, 0.086, 0.027, 0.086, 0.0, 
0.706, 0.024, 0.075, 0.03, 0.051, 0.033, 0.032, 0.049, 
0.028, 0.058, 0.262, 0.054, 0.006, 0.317, 0.236, 0.039, 
0.03, 0.131, 0.03, 0.483, 0.078, 0.036, 0.025, 0.187, 
0.084, 0.373, 0.003, 0.01, 0.04, 0.014, 0.025, 0.451, 
0.056, 0.246, 0.025, 0.526, 0.015, 0.086, 0.041, 0.005, 
0.649, 0.055, 0.02, 0.022, 0.027, 0.071, 0.088, 0.068, 
