0.608, 0.207, 0.045, 0.005, 0.014, 0.046, 0.046, 0.029, 
0.369, 0.018, 0.17, 0.065, 0.08, 0.264, 0.025, 0.009, 
0.4, 0.018, 0.163, 0.082, 0.023, 0.003, 0.311, 0.0, 
0.433, 0.07, 0.243, 0.03, 0.018, 0.14, 0.013, 0.053, 
0.175, 0.177, 0.003, 0.029, 0.033, 0.138, 0.126, 0.319, 
0.376, 0.017, 0.026, 0.187, 0.053, 0.095, 0.145, 0.101, 
0.701, 0.087, 0.011, 0.025, 0.022, 0.112, 0.029, 0.013, 
0.653, 0.025, 0.036, 0.013, 0.038, 0.012, 0.183, 0.04, 
0.152, 0.051, 0.019, 0.073, 0.036, 0.021, 0.593, 0.055, 
0.767, 0.023, 0.011, 0.037, 0.034, 0.062, 0.035, 0.031, 
0.6, 0.074, 0.037, 0.011, 0.02, 0.115, 0.049, 0.094, 
0.637, 0.03, 0.085, 0.035, 0.016, 0.009, 0.02, 0.168, 
0.412, 0.004, 0.124, 0.04, 0.079, 0.006, 0.239, 0.096, 
0.217, 0.063, 0.083, 0.22, 0.063, 0.286, 0.068, 0.0, 
0.536, 0.022, 0.006, 0.113, 0.008, 0.074, 0.004, 0.237, 
0.896, 0.041, 0.003, 0.004, 0.043, 0.013, 0.0, 0.0, 
0.164, 0.04, 0.038, 0.167, 0.021, 0.036, 0.017, 0.517, 
0.045, 0.252, 0.011, 0.015, 0.452, 0.065, 0.148, 0.012, 
0.257, 0.009, 0.152, 0.009, 0.091, 0.003, 0.469, 0.01, 
0.261, 0.017, 0.125, 0.013, 0.03, 0.526, 0.005, 0.023, 
0.647, 0.011, 0.044, 0.007, 0.011, 0.105, 0.172, 0.003, 
0.111, 0.078, 0.019, 0.036, 0.251, 0.395, 0.052, 0.058, 
0.129, 0.039, 0.028, 0.143, 0.03, 0.586, 0.025, 0.02, 
0.485, 0.04, 0.056, 0.012, 0.061, 0.172, 0.014, 0.16, 
0.34, 0.037, 0.214, 0.012, 0.002, 0.088, 0.225, 0.082, 
0.389, 0.052, 0.048, 0.035, 0.043, 0.105, 0.295, 0.033, 
0.269, 0.024, 0.054, 0.013, 0.145, 0.166, 0.004, 0.325, 
0.261, 0.075, 0.036, 0.004, 0.022, 0.37, 0.033, 0.199, 
0.191, 0.041, 0.018, 0.014, 0.017, 0.102, 0.354, 0.263, 
0.378, 0.022, 0.134, 0.036, 0.039, 0.111, 0.21, 0.07, 
0.466, 0.067, 0.004, 0.012, 0.04, 0.235, 0.176, 0.0, 
0.066, 0.099, 0.031, 0.017, 0.652, 0.06, 0.011, 0.064, 
0.034, 0.217, 0.036, 0.322, 0.052, 0.248, 0.091, 0.0, 
0.173, 0.24, 0.135, 0.051, 0.122, 0.076, 0.081, 0.122, 
0.042, 0.179, 0.014, 0.003, 0.213, 0.239, 0.09, 0.22, 
0.021, 0.488, 0.061, 0.048, 0.01, 0.043, 0.24, 0.089, 
0.233, 0.03, 0.04, 0.037, 0.013, 0.188, 0.414, 0.045, 
0.525, 0.039, 0.04, 0.096, 0.018, 0.206, 0.032, 0.044, 
0.109, 0.158, 0.038, 0.125, 0.261, 0.09, 0.219, 0.0, 
